year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,buses_and_coaches,HGVs_2_rigid_axle,HGVs_3_rigid_axle,HGVs_4_or_more_rigid_axle,HGVs_3_or_4_articulated_axle,HGVs_5_articulated_axle,HGVs_6_articulated_axle,all_HGVs
2023,M80,TM,A73,A73,274293,674066,55.943145,-4.0142922,E,34,522,126,201,31,89,2014,2983
2023,M80,TM,A73,A73,274293,674066,55.943145,-4.0142922,W,41,701,257,192,53,422,1668,3293
2023,M74,TM,A74,A724,263553,662467,55.836076,-4.1802675,E,76,971,183,212,201,1176,1336,4079
2023,M74,TM,A74,A724,263553,662467,55.836076,-4.1802675,W,76,973,183,213,202,1179,1339,4088
2023,M4,TM,28,27,328415,187298,51.579978,-3.0344815,N,205,776,251,156,271,1103,1596,4154
2023,M4,TM,28,27,328415,187298,51.579978,-3.0344815,S,145,705,235,190,156,884,1858,4027
2023,M4,TM,LA Boundary,37,280770,182100,51.525188,-3.7200444,E,48,568,185,219,94,282,1238,2585
2023,M4,TM,LA Boundary,37,280770,182100,51.525188,-3.7200444,W,46,485,173,199,73,235,1362,2527
2023,M4,TM,47,46,263100,199260,51.675377,-3.9812998,E,85,588,153,192,88,194,865,2079
2023,M4,TM,47,46,263100,199260,51.675377,-3.9812998,W,94,557,168,176,52,200,838,1992
2023,M8,TM,3,LA boundary,310000,671400,55.927219,-3.4419356,E,131,608,220,192,104,242,1306,2672
2023,M8,TM,3,LA boundary,310000,671400,55.927219,-3.4419356,W,142,792,283,227,164,278,1458,3203
2023,M8,TM,27,26,249751,665710,55.861087,-4.4022373,E,267,715,130,410,135,240,931,2562
2023,M8,TM,27,26,249751,665710,55.861087,-4.4022373,W,268,712,174,410,112,235,930,2574
2023,M8,TM,31,30,243500,671870,55.914392,-4.5055725,E,67,229,49,142,15,75,213,722
2023,M8,TM,31,30,243500,671870,55.914392,-4.5055725,W,56,222,53,115,17,63,218,689
2023,M9,TM,6,A905,291490,681000,56.009609,-3.7418997,N,18,338,60,158,61,466,217,1301
2023,M9,TM,6,A905,291490,681000,56.009609,-3.7418997,S,31,727,98,204,29,165,537,1759
2023,M8,TM,11,10,266200,666110,55.869526,-4.1398329,E,212,1027,237,229,96,154,812,2555
2023,M8,TM,11,10,266200,666110,55.869526,-4.1398329,W,211,954,255,184,78,105,709,2284
2023,M8,TM,16,15,259700,666300,55.869383,-4.2437204,E,113,1779,412,440,176,657,1084,4548
2023,M8,TM,16,15,259700,666300,55.869383,-4.2437204,W,189,1651,258,355,90,558,934,3846
2023,M73,TM,M74,LA Boundary,268800,662700,55.839624,-4.0966637,N,115,1082,323,316,94,259,2002,4075
2023,M73,TM,M74,LA Boundary,268800,662700,55.839624,-4.0966637,S,131,1237,358,382,112,362,2444,4895
2023,M1,TM,A406,M1 spur,522170,189100,51.587519,-0.23795286,N,175,1456,117,212,67,103,412,2367
2023,M1,TM,A406,M1 spur,522170,189100,51.587519,-0.23795286,S,209,1075,95,284,138,129,502,2223
2023,M1,TM,2,4,520150,194300,51.634686,-0.26531515,E,201,815,66,178,54,111,371,1596
2023,M1,TM,2,4,520150,194300,51.634686,-0.26531515,W,170,818,108,202,73,137,406,1743
