year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,all_HGVs,2_axle,3_axle,4_axle,5_axle,6_axle,7_axle,Mean GVW
2023,M80,TM,A73,A73,274293,674066,55.943145,-4.0142922,E,2983,541,146,133,155,2037,5,34791.70367915148
2023,M80,TM,A73,A73,274293,674066,55.943145,-4.0142922,W,3293,724,284,146,485,1690,5,31510.652969406117
2023,M74,TM,A74,A724,263553,662467,55.836076,-4.1802675,E,4079,1015,250,279,1246,1360,6,28683.340712223293
2023,M74,TM,A74,A724,263553,662467,55.836076,-4.1802675,W,4088,1017,251,279,1249,1363,6,28573.91668667467
2023,M4,TM,28,27,328415,187298,51.579978,-3.0344815,N,4154,893,387,306,1154,1614,4,29336.535337310692
2023,M4,TM,28,27,328415,187298,51.579978,-3.0344815,S,4027,788,324,230,946,1880,5,31093.360412173497
2023,M4,TM,LA Boundary,37,280770,182100,51.525188,-3.7200444,E,2585,596,222,193,354,1263,6,30350.58238420653
2023,M4,TM,LA Boundary,37,280770,182100,51.525188,-3.7200444,W,2527,511,206,166,300,1385,5,31925.666925767586
2023,M4,TM,47,46,263100,199260,51.675377,-3.9812998,E,2079,637,204,175,257,887,5,28156.617090069285
2023,M4,TM,47,46,263100,199260,51.675377,-3.9812998,W,1992,611,217,136,258,858,5,28203.505035971222
2023,M8,TM,3,LA boundary,310000,671400,55.927219,-3.4419356,E,2672,683,294,188,305,1328,5,29798.52408134142
2023,M8,TM,3,LA boundary,310000,671400,55.927219,-3.4419356,W,3203,873,373,256,352,1484,6,29301.07446172249
2023,M8,TM,27,26,249751,665710,55.861087,-4.4022373,E,2562,868,268,329,374,978,11,26710.390028288544
2023,M8,TM,27,26,249751,665710,55.861087,-4.4022373,W,2574,866,308,310,369,977,11,26584.426962337206
2023,M8,TM,31,30,243500,671870,55.914392,-4.5055725,E,722,267,81,87,122,229,4,25703.705063291138
2023,M8,TM,31,30,243500,671870,55.914392,-4.5055725,W,689,254,80,75,101,231,3,25579.299731182797
2023,M9,TM,6,A905,291490,681000,56.009609,-3.7418997,N,1301,348,79,134,518,235,4,26199.050075872536
2023,M9,TM,6,A905,291490,681000,56.009609,-3.7418997,S,1759,745,116,132,232,560,6,25108.516471245115
2023,M8,TM,11,10,266200,666110,55.869526,-4.1398329,E,2555,1148,345,201,229,838,6,24269.61293820022
2023,M8,TM,11,10,266200,666110,55.869526,-4.1398329,W,2284,1075,359,162,165,730,5,23367.92828525641
2023,M8,TM,16,15,259700,666300,55.869383,-4.2437204,E,4548,1844,491,379,801,1135,12,23905.837623337622
2023,M8,TM,16,15,259700,666300,55.869383,-4.2437204,W,3846,1759,355,263,674,975,10,23593.59539147671
2023,M73,TM,M74,LA Boundary,268800,662700,55.839624,-4.0966637,N,4075,1148,389,245,363,2038,9,30014.57228053435
2023,M73,TM,M74,LA Boundary,268800,662700,55.839624,-4.0966637,S,4895,1312,434,295,487,2488,10,30360.359729407082
2023,M1,TM,A406,M1 spur,522170,189100,51.587519,-0.23795286,N,2367,1556,204,168,173,436,6,19265.538733779
2023,M1,TM,A406,M1 spur,522170,189100,51.587519,-0.23795286,S,2223,1195,208,265,222,535,8,21690.050965885737
2023,M1,TM,2,4,520150,194300,51.634686,-0.26531515,E,1596,930,162,139,169,391,5,21578.015033407573
2023,M1,TM,2,4,520150,194300,51.634686,-0.26531515,W,1743,915,194,167,203,429,5,22188.528489283846
2023,M1,TM,17,18,458354,270523,52.329704,-1.1451197,N,9860,2209,579,244,1081,5890,5,32823.98621103117
2023,M1,TM,17,18,458354,270523,52.329704,-1.1451197,S,10496,2337,391,251,1282,6369,6,33283.241726212866
2023,M1,TM,22,23,447940,312400,52.707152,-1.2918996,N,7913,1202,418,377,989,4983,10,34600.520616618625
