year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,HGVs_2_rigid_axle,HGVs_3_rigid_axle,HGVs_4_or_more_rigid_axle,HGVs_3_or_4_articulated_axle,HGVs_5_articulated_axle,HGVs_6_articulated_axle,all_HGVs
2006,M4,TM,28,27,328570,187000,51.577320306,-3.032184269,E,1410,264,184,366,2080,1185,5489
2006,M4,TM,28,27,328570,187000,51.577320306,-3.032184269,W,1646,245,182,271,1863,1286,5493
2006,M4,TM,LA Boundary,37,280770,182100,51.525189997,-3.720044465,E,1027,239,237,160,902,619,3184
2006,M4,TM,LA Boundary,37,280770,182100,51.525189997,-3.720044465,W,1043,229,244,210,973,515,3214
2006,M4,TM,47,46,263100,199260,51.675378776,-3.981299876,E,1021,152,133,154,649,453,2562
2006,M4,TM,47,46,263100,199260,51.675378776,-3.981299876,W,945,161,146,148,543,481,2424
2006,M8,TM,3,LA boundary,310000,671400,55.927220069,-3.441935691,E,1201,142,113,281,692,473,2902
2006,M8,TM,3,LA boundary,310000,671400,55.927220069,-3.441935691,W,1465,180,122,413,813,494,3487
2006,M8,TM,27,26,249600,665700,55.860951678,-4.404642133,E,1223,270,327,224,598,499,3141
2006,M8,TM,27,26,249600,665700,55.860951678,-4.404642133,W,1314,279,282,191,467,535,3068
2006,M8,TM,31,30,243500,671870,55.914393213,-4.505572605,E,506,46,56,76,151,105,940
2006,M8,TM,31,30,243500,671870,55.914393213,-4.505572605,W,486,53,54,64,115,128,900
2006,M9,TM,1,A8000,311900,675200,55.961703912,-3.412781028,E,395,63,102,122,431,314,1427
2006,M9,TM,1,A8000,311900,675200,55.961703912,-3.412781028,W,619,88,102,240,574,423,2046
2006,M9,TM,6,A905,291490,681000,56.009610736,-3.741899778,N,729,112,123,117,291,514,1886
2006,M9,TM,6,A905,291490,681000,56.009610736,-3.741899778,S,642,97,153,103,437,340,1772
2006,M90,TM,7,8,312200,705300,56.232111083,-3.417880629,N,574,67,38,116,241,311,1347
2006,M90,TM,7,8,312200,705300,56.232111083,-3.417880629,S,645,79,38,135,307,274,1478
2006,M90,TM,3,4,312800,689300,56.088513839,-3.402955984,N,432,73,26,50,232,235,1048
2006,M90,TM,3,4,312800,689300,56.088513839,-3.402955984,S,451,56,19,84,307,234,1151
2006,M8,TM,11,10,266200,666110,55.869527789,-4.139832958,E,2258,300,385,485,1078,602,5108
2006,M8,TM,11,10,266200,666110,55.869527789,-4.139832958,W,2177,279,310,403,841,833,4843
2006,M8,TM,16,15,259700,666300,55.869384611,-4.243720513,E,3573,513,512,537,1223,1370,7728
2006,M8,TM,16,15,259700,666300,55.869384611,-4.243720513,W,2997,463,496,205,858,1524,6543
2006,M73,TM,M74,LA Boundary,268800,662700,55.839624967,-4.096663797,N,1485,484,485,222,968,1241,4885
2006,M73,TM,M74,LA Boundary,268800,662700,55.839624967,-4.096663797,S,2069,436,482,261,1028,1162,5438
2006,M1,TM,A406,M1 spur,522170,189100,51.587520736,-0.237952792,N,732,93,133,112,139,501,1710
2006,M1,TM,A406,M1 spur,522170,189100,51.587520736,-0.237952792,S,535,63,145,82,139,365,1329
2006,M1,TM,2,4,520150,194300,51.634687942,-0.265315076,N,817,102,198,142,279,233,1771
2006,M1,TM,2,4,520150,194300,51.634687942,-0.265315076,S,880,97,221,137,266,322,1923
2006,M1,TM,12,13,500244,234300,51.998106684,-0.541270096,N,2100,286,173,736,3051,2527,8873
2006,M1,TM,12,13,500244,234300,51.998106684,-0.541270096,S,1667,192,126,795,3075,1914,7769
2006,M1,TM,17,18,458354,270523,52.329705549,-1.145119703,N,2326,229,248,848,3975,1813,9439
2006,M1,TM,17,18,458354,270523,52.329705549,-1.145119703,S,1843,198,216,675,4329,1714,8975
2006,M1,TM,22,23,447940,312400,52.707153513,-1.291899545,N,2439,292,287,635,2536,1593,7782
2006,M1,TM,22,23,447940,312400,52.707153513,-1.291899545,S,1686,189,189,353,2675,1579,6671
2006,M1,TM,LA Boundary,28,446420,355300,53.092899472,-1.30828324,N,2182,318,186,892,3174,1921,8673
2006,M1,TM,LA Boundary,28,446420,355300,53.092899472,-1.30828324,S,1839,333,192,879,3144,2472,8859
2006,M1,TM,M18 spur,33,446000,389300,53.398532582,-1.309655266,N,2299,343,339,649,2410,1615,7655
2006,M1,TM,M18 spur,33,446000,389300,53.398532582,-1.309655266,S,1961,421,297,591,2358,1540,7168
2006,M621,TM,7,M1,432150,429500,53.760870738,-1.513814302,N,859,167,115,158,610,640,2549
