year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,buses_and_coaches,HGVs_2_rigid_axle,HGVs_3_rigid_axle,HGVs_4_or_more_rigid_axle,HGVs_3_or_4_articulated_axle,HGVs_5_articulated_axle,HGVs_6_articulated_axle,all_HGVs
2008,M4,TM,28,27,328570,187000,51.577320306,-3.032184269,E,341,1324,278,202,289,1832,1252,5177
2008,M4,TM,28,27,328570,187000,51.577320306,-3.032184269,W,333,1545,259,200,214,1641,1358,5217
2008,M4,TM,LA Boundary,37,280770,182100,51.525189997,-3.720044465,E,162,752,189,198,170,1013,566,2888
2008,M4,TM,LA Boundary,37,280770,182100,51.525189997,-3.720044465,W,112,564,144,139,137,826,518,2328
2008,M4,TM,47,46,263100,199260,51.675378776,-3.981299876,E,87,913,168,169,117,623,410,2400
2008,M4,TM,47,46,263100,199260,51.675378776,-3.981299876,W,103,745,209,171,85,527,556,2293
2008,M8,TM,3,LA boundary,310000,671400,55.927220069,-3.441935691,E,211,1282,312,297,165,804,698,3558
2008,M8,TM,3,LA boundary,310000,671400,55.927220069,-3.441935691,W,244,1286,215,181,170,589,762,3203
2008,M8,TM,27,26,249600,665700,55.860951678,-4.404642133,E,508,1246,254,286,220,535,507,3048
2008,M8,TM,27,26,249600,665700,55.860951678,-4.404642133,W,504,1199,201,207,185,412,545,2749
2008,M8,TM,31,30,243500,671870,55.914393213,-4.505572605,E,136,365,76,107,33,101,204,886
2008,M8,TM,31,30,243500,671870,55.914393213,-4.505572605,W,136,344,83,86,31,90,210,844
2008,M9,TM,1,A8000,311900,675200,55.961703912,-3.412781028,N,85,593,127,76,57,629,398,1880
2008,M9,TM,1,A8000,311900,675200,55.961703912,-3.412781028,S,84,523,109,101,76,516,408,1733
2008,M9,TM,6,A905,291490,681000,56.009610736,-3.741899778,N,151,685,119,134,92,256,543,1829
2008,M9,TM,6,A905,291490,681000,56.009610736,-3.741899778,S,124,603,102,168,81,385,359,1698
2008,M90,TM,7,8,312200,705300,56.232111083,-3.417880629,N,97,541,71,42,94,216,335,1299
2008,M90,TM,7,8,312200,705300,56.232111083,-3.417880629,S,87,608,84,42,109,275,295,1413
2008,M90,TM,3,4,312800,689300,56.088513839,-3.402955984,N,117,387,60,72,42,319,217,1097
2008,M90,TM,3,4,312800,689300,56.088513839,-3.402955984,S,129,485,85,137,130,383,213,1433
2008,M8,TM,11,10,266200,666110,55.869527789,-4.139832958,E,533,1613,228,266,382,1091,553,4133
2008,M8,TM,11,10,266200,666110,55.869527789,-4.139832958,W,483,1104,334,254,347,852,717,3608
2008,M8,TM,16,15,259700,666300,55.869384611,-4.243720513,E,402,2984,431,662,248,1091,1163,6579
2008,M8,TM,16,15,259700,666300,55.869384611,-4.243720513,W,485,2493,349,577,174,947,1236,5776
2008,M73,TM,M74,LA Boundary,268800,662700,55.839624967,-4.096663797,N,267,1741,442,513,251,488,1737,5172
2008,M73,TM,M74,LA Boundary,268800,662700,55.839624967,-4.096663797,S,364,1888,413,511,247,541,1365,4965
2008,M1,TM,A406,M1 spur,522170,189100,51.587520736,-0.237952792,N,300,516,69,135,93,216,177,1206
2008,M1,TM,A406,M1 spur,522170,189100,51.587520736,-0.237952792,S,300,462,82,167,77,141,287,1216
2008,M1,TM,2,4,520150,194300,51.634687942,-0.265315076,N,325,1109,156,132,120,251,209,1977
2008,M1,TM,2,4,520150,194300,51.634687942,-0.265315076,S,319,710,92,147,101,221,319,1590
2008,M1,TM,12,13,500244,234300,51.998106684,-0.541270096,N,265,2303,304,160,547,2377,2484,8175
2008,M1,TM,12,13,500244,234300,51.998106684,-0.541270096,S,276,1601,223,101,633,2768,2001,7327
2008,M1,TM,17,18,458354,270523,52.329705549,-1.145119703,N,228,1833,205,190,499,3270,2161,8158
2008,M1,TM,17,18,458354,270523,52.329705549,-1.145119703,S,243,1673,223,198,536,3296,2487,8413
2008,M1,TM,22,23,447940,312400,52.707153513,-1.291899545,N,163,1721,284,170,624,2217,1346,6362
2008,M1,TM,22,23,447940,312400,52.707153513,-1.291899545,S,195,1883,282,193,651,2625,1568,7202
2008,M1,TM,LA Boundary,28,446420,355300,53.092899472,-1.30828324,N,153,1964,326,233,816,2769,1904,8012
2008,M1,TM,LA Boundary,28,446420,355300,53.092899472,-1.30828324,S,159,1683,268,162,708,2515,2362,7698
2008,M1,TM,M18 spur,33,446000,389300,53.398532582,-1.309655266,E,146,2819,320,421,290,2834,1164,7848
2008,M1,TM,M18 spur,33,446000,389300,53.398532582,-1.309655266,W,123,2863,427,459,185,2188,1165,7287
2008,M621,TM,7,M1,432150,429500,53.760870738,-1.513814302,N,121,926,133,108,205,886,710,2968
2008,M621,TM,7,M1,432150,429500,53.760870738,-1.513814302,S,150,811,213,135,282,945,610,2996
2008,M2,TM,2,LA Boundary,573500,165500,51.362070922,0.490738124,N,190,998,211,319,212,1387,581,3708
2008,M2,TM,2,LA Boundary,573500,165500,51.362070922,0.490738124,S,164,844,146,276,168,1792,528,3754
2008,M3,TM,7,6,459450,147210,51.221001097,-1.150116819,E,252,894,149,160,144,1000,873,3220
2008,M3,TM,7,6,459450,147210,51.221001097,-1.150116819,W,265,956,159,120,279,961,695,3170
2008,M4,TM,4,3,508900,178400,51.494067034,-0.432721583,E,450,864,272,291,41,73,670,2211
2008,M4,TM,4,3,508900,178400,51.494067034,-0.432721583,W,434,1622,268,390,370,609,555,3814
2008,M4,TM,13,12,449300,173350,51.456991348,-1.291830727,E,263,1366,185,186,138,1554,973,4402
2008,M4,TM,13,12,449300,173350,51.456991348,-1.291830727,W,245,1391,163,244,158,1493,907,4356
2008,M4,TM,LA Boundary,17,389200,179080,51.510544007,-2.157014857,E,189,671,153,97,364,1607,1138,4030
