year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,HGVs_2_rigid_axle,HGVs_3_rigid_axle,HGVs_4_or_more_rigid_axle,HGVs_3_or_4_articulated_axle,HGVs_5_articulated_axle,HGVs_6_articulated_axle,all_HGVs
2012,M80,TM,A73,A73,274293,674066,55.943146703,-4.014292268,C,1363,285,254,221,1143,2079,5346
2012,M74,TM,A74,A724,263553,662467,55.83607715,-4.180267528,C,1519,278,259,330,2107,2273,6766
2012,M4,TM,28,27,328570,187000,51.577320306,-3.032184269,E,1137,220,97,301,1518,1221,4494
2012,M4,TM,28,27,328570,187000,51.577320306,-3.032184269,W,1112,164,173,227,1469,1142,4289
2012,M4,TM,LA Boundary,37,280770,182100,51.525189997,-3.720044465,E,672,164,165,163,633,691,2487
2012,M4,TM,LA Boundary,37,280770,182100,51.525189997,-3.720044465,W,621,185,138,116,664,671,2395
2012,M4,TM,47,46,263100,199260,51.675378776,-3.981299876,E,706,142,109,79,507,404,1947
2012,M4,TM,47,46,263100,199260,51.675378776,-3.981299876,W,649,147,103,65,488,411,1864
2012,M8,TM,3,LA boundary,310000,671400,55.927220069,-3.441935691,E,1109,325,280,101,603,719,3136
2012,M8,TM,3,LA boundary,310000,671400,55.927220069,-3.441935691,W,1113,225,172,104,442,784,2838
2012,M8,TM,27,26,249600,665700,55.860951678,-4.404642133,E,1218,213,257,174,488,473,2824
2012,M8,TM,27,26,249600,665700,55.860951678,-4.404642133,W,1242,218,262,179,499,483,2883
2012,M8,TM,31,30,243500,671870,55.914393213,-4.505572605,E,316,79,101,20,76,210,802
2012,M8,TM,31,30,243500,671870,55.914393213,-4.505572605,W,299,87,80,19,68,217,770
2012,M9,TM,1,A8000,311900,675200,55.961703912,-3.412781028,N,513,132,72,35,472,409,1633
2012,M9,TM,1,A8000,311900,675200,55.961703912,-3.412781028,S,453,113,94,46,387,420,1512
2012,M9,TM,6,A905,291490,681000,56.009610736,-3.741899778,N,592,124,127,56,192,559,1650
2012,M9,TM,6,A905,291490,681000,56.009610736,-3.741899778,S,522,106,159,49,289,370,1495
2012,M90,TM,7,8,312200,705300,56.232111083,-3.417880629,N,339,73,59,46,264,332,1113
2012,M90,TM,7,8,312200,705300,56.232111083,-3.417880629,S,466,63,63,85,324,310,1311
2012,M90,TM,3,4,312800,689300,56.088513839,-3.402955984,N,331,62,67,24,231,215,930
2012,M90,TM,3,4,312800,689300,56.088513839,-3.402955984,S,415,89,127,77,278,211,1196
2012,M8,TM,11,10,266200,666110,55.869527789,-4.139832958,E,1707,287,341,229,754,884,4203
2012,M8,TM,11,10,266200,666110,55.869527789,-4.139832958,W,1440,298,309,180,627,897,3750
2012,M8,TM,16,15,259700,666300,55.869384611,-4.243720513,E,2309,334,388,96,892,723,4742
2012,M8,TM,16,15,259700,666300,55.869384611,-4.243720513,W,2210,329,353,48,685,861,4486
2012,M73,TM,M74,LA Boundary,268800,662700,55.839624967,-4.096663797,N,1716,332,935,104,836,1240,5163
2012,M73,TM,M74,LA Boundary,268800,662700,55.839624967,-4.096663797,S,1578,348,977,188,1026,1175,5290
2012,M1,TM,A406,M1 spur,522170,189100,51.587520736,-0.237952792,N,614,214,225,95,195,326,1671
2012,M1,TM,A406,M1 spur,522170,189100,51.587520736,-0.237952792,S,463,223,236,78,276,287,1564
2012,M1,TM,2,4,520150,194300,51.634687942,-0.265315076,E,877,128,179,30,102,617,1934
2012,M1,TM,2,4,520150,194300,51.634687942,-0.265315076,W,776,114,153,26,119,220,1408
2012,M1,TM,17,18,458354,270523,52.329705549,-1.145119703,N,1579,234,151,439,3217,2876,8497
2012,M1,TM,17,18,458354,270523,52.329705549,-1.145119703,S,1075,150,144,450,3268,2151,7239
2012,M1,TM,22,23,447940,312400,52.707153513,-1.291899545,N,1348,224,159,569,2573,1435,6307
2012,M1,TM,22,23,447940,312400,52.707153513,-1.291899545,S,1293,260,260,409,1969,2033,6225
2012,M1,TM,LA Boundary,28,446420,355300,53.092899472,-1.30828324,N,1749,287,252,524,2749,2282,7843
2012,M1,TM,LA Boundary,28,446420,355300,53.092899472,-1.30828324,S,1658,254,262,413,2359,2780,7726
2012,M1,TM,M18 spur,33,446000,389300,53.398532582,-1.309655266,E,1970,362,327,327,916,2999,6900
2012,M1,TM,M18 spur,33,446000,389300,53.398532582,-1.309655266,W,2110,276,380,316,803,2746,6630
2012,M621,TM,7,M1,432150,429500,53.760870738,-1.513814302,N,484,147,182,115,499,389,1816
2012,M621,TM,7,M1,432150,429500,53.760870738,-1.513814302,S,597,148,159,132,602,474,2113
2012,M2,TM,2,LA Boundary,573500,165500,51.362070922,0.490738124,N,884,195,278,94,681,1405,3536
2012,M2,TM,2,LA Boundary,573500,165500,51.362070922,0.490738124,S,858,289,245,63,398,1898,3751
2012,M3,TM,7,6,459450,147210,51.221001097,-1.150116819,E,802,148,104,185,806,676,2721
2012,M3,TM,7,6,459450,147210,51.221001097,-1.150116819,W,868,179,109,140,737,691,2724
2012,M4,TM,4,3,508900,178400,51.494067034,-0.432721583,E,956,106,275,19,133,576,2064
2012,M4,TM,4,3,508900,178400,51.494067034,-0.432721583,W,1322,111,412,21,146,255,2267
2012,M4,TM,13,12,449300,173350,51.456991348,-1.291830727,E,848,98,106,275,1342,862,3532
2012,M4,TM,13,12,449300,173350,51.456991348,-1.291830727,W,892,106,87,282,918,979,3265
2012,M4,TM,LA Boundary,17,389200,179080,51.510544007,-2.157014857,E,749,117,121,209,1468,1318,3983
2012,M4,TM,LA Boundary,17,389200,179080,51.510544007,-2.157014857,W,850,151,183,217,1356,1005,3763
2012,M5,TM,4,LA Boundary,398500,280000,52.417993414,-2.023481394,N,2007,190,183,83,818,2333,5615
2012,M5,TM,4,LA Boundary,398500,280000,52.417993414,-2.023481394,S,1688,51,169,131,317,2398,4754
2012,M5,TM,LA Boundary,LA Boundary,391788,234783,52.011416047,-2.12105813,N,1135,187,157,21,583,2501,4583
2012,M5,TM,LA Boundary,LA Boundary,391788,234783,52.011416047,-2.12105813,S,810,243,139,98,481,2323,4093
2012,M5,TM,11,10,389660,223200,51.90724048,-2.151710032,N,976,163,101,324,2362,1077,5002
2012,M5,TM,11,10,389660,223200,51.90724048,-2.151710032,S,708,206,97,229,1182,1788,4211
2012,M5,TM,24,23,330800,134540,51.105965169,-2.989794576,N,1074,190,163,305,1281,1041,4052
2012,M5,TM,24,23,330800,134540,51.105965169,-2.989794576,S,804,207,160,228,835,1342,3576
2012,M5,TM,28,27,303700,112172,50.900967348,-3.370833261,N,670,227,146,275,822,717,2857
2012,M5,TM,28,27,303700,112172,50.900967348,-3.370833261,S,664,181,139,175,635,721,2516
2012,M6,TM,4,M42,419593,286694,52.477827332,-1.712953169,E,1438,272,198,266,962,3418,6554
2012,M6,TM,4,M42,419593,286694,52.477827332,-1.712953169,W,1466,252,189,248,930,3055,6140
2012,M6,TM,16,17,377600,359800,53.134882738,-2.336267782,N,1498,441,94,451,1849,5413,9746
2012,M6,TM,16,17,377600,359800,53.134882738,-2.336267782,S,1556,436,98,394,1564,5462,9510
