year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,HGVs_2_rigid_axle,HGVs_3_rigid_axle,HGVs_4_or_more_rigid_axle,HGVs_3_or_4_articulated_axle,HGVs_5_articulated_axle,HGVs_6_articulated_axle,all_HGVs
2003,M4,TM,28,27,328570,187000,51.577320306,-3.032184269,E,1281,255,274,420,1652,1219,5101
2003,M4,TM,28,27,328570,187000,51.577320306,-3.032184269,W,1786,270,331,552,1694,1035,5668
2003,M4,TM,LA Boundary,37,280770,182100,51.525189997,-3.720044465,E,945,154,177,28,228,256,1788
2003,M4,TM,LA Boundary,37,280770,182100,51.525189997,-3.720044465,W,959,138,171,30,132,161,1591
2003,M4,TM,47,46,263100,199260,51.675378776,-3.981299876,E,837,162,95,201,548,268,2111
2003,M4,TM,47,46,263100,199260,51.675378776,-3.981299876,W,760,175,111,164,534,277,2021
2003,M8,TM,3,LA boundary,310000,671400,55.927220069,-3.441935691,E,1278,126,115,301,628,364,2812
2003,M8,TM,3,LA boundary,310000,671400,55.927220069,-3.441935691,W,1445,194,156,287,623,473,3178
2003,M8,TM,27,26,249600,665700,55.860951678,-4.404642133,E,1461,245,323,249,551,380,3209
2003,M8,TM,27,26,249600,665700,55.860951678,-4.404642133,W,1560,243,388,235,565,367,3358
2003,M8,TM,31,30,243500,671870,55.914393213,-4.505572605,E,441,51,34,92,147,75,840
2003,M8,TM,31,30,243500,671870,55.914393213,-4.505572605,W,440,61,45,79,123,99,847
2003,M9,TM,1,A8000,311900,675200,55.961703912,-3.412781028,E,472,76,54,130,382,302,1416
2003,M9,TM,1,A8000,311900,675200,55.961703912,-3.412781028,W,729,86,42,196,436,321,1810
2003,M9,TM,6,A905,291490,681000,56.009610736,-3.741899778,N,378,54,119,139,255,179,1124
2003,M9,TM,6,A905,291490,681000,56.009610736,-3.741899778,S,566,90,92,87,263,208,1306
2003,M90,TM,7,8,312200,705300,56.232111083,-3.417880629,N,592,153,58,120,274,274,1471
2003,M90,TM,7,8,312200,705300,56.232111083,-3.417880629,S,722,143,73,124,314,309,1685
2003,M90,TM,3,4,312800,689300,56.088513839,-3.402955984,N,393,70,46,86,316,114,1025
2003,M90,TM,3,4,312800,689300,56.088513839,-3.402955984,S,506,91,70,138,369,186,1360
2003,M8,TM,11,10,266200,666110,55.869527789,-4.139832958,E,957,281,422,438,880,597,3575
2003,M8,TM,11,10,266200,666110,55.869527789,-4.139832958,W,1041,370,427,253,559,1116,3766
2003,M8,TM,16,15,259700,666300,55.869384611,-4.243720513,E,2776,393,319,430,1181,915,6014
2003,M8,TM,16,15,259700,666300,55.869384611,-4.243720513,W,2830,403,331,411,1117,896,5988
2003,M73,TM,M74,LA Boundary,268800,662700,55.839624967,-4.096663797,N,472,201,178,213,137,153,1354
2003,M73,TM,M74,LA Boundary,268800,662700,55.839624967,-4.096663797,S,923,141,106,304,315,303,2092
2003,M1,TM,A406,M1 spur,522170,189100,51.587520736,-0.237952792,N,602,98,167,123,257,222,1469
2003,M1,TM,A406,M1 spur,522170,189100,51.587520736,-0.237952792,S,509,63,79,0,227,246,1124
2003,M1,TM,2,4,520150,194300,51.634687942,-0.265315076,N,689,93,280,326,333,228,1949
2003,M1,TM,2,4,520150,194300,51.634687942,-0.265315076,S,575,72,292,146,269,277,1631
2003,M1,TM,12,13,500244,234300,51.998106684,-0.541270096,N,2406,340,172,763,2837,2321,8839
2003,M1,TM,12,13,500244,234300,51.998106684,-0.541270096,S,1422,268,194,706,2478,2164,7232
2003,M1,TM,17,18,458354,270523,52.329705549,-1.145119703,N,2316,207,264,824,2783,1921,8315
2003,M1,TM,17,18,458354,270523,52.329705549,-1.145119703,S,1440,169,200,811,2589,2009,7218
2003,M1,TM,22,23,447940,312400,52.707153513,-1.291899545,N,2017,263,240,809,2697,1322,7348
2003,M1,TM,22,23,447940,312400,52.707153513,-1.291899545,S,1711,236,208,786,2465,1582,6988
2003,M1,TM,LA Boundary,28,446420,355300,53.092899472,-1.30828324,N,1672,269,170,1009,3249,1743,8112
2003,M1,TM,LA Boundary,28,446420,355300,53.092899472,-1.30828324,S,1818,369,116,1080,2965,2648,8996
2003,M1,TM,M18 spur,33,446000,389300,53.398532582,-1.309655266,N,2748,347,370,736,2187,1591,7979
2003,M1,TM,M18 spur,33,446000,389300,53.398532582,-1.309655266,S,2221,325,416,665,2508,1615,7750
2003,M621,TM,7,M1,432150,429500,53.760870738,-1.513814302,N,691,209,267,267,547,574,2555
2003,M621,TM,7,M1,432150,429500,53.760870738,-1.513814302,S,729,212,251,286,627,567,2672
2003,M2,TM,2,LA Boundary,573500,165500,51.362070922,0.490738124,N,850,136,393,255,840,504,2978
2003,M2,TM,2,LA Boundary,573500,165500,51.362070922,0.490738124,S,930,155,428,230,982,535,3260
2003,M3,TM,7,6,459450,147210,51.221001097,-1.150116819,N,1012,137,67,265,690,777,2948
2003,M3,TM,7,6,459450,147210,51.221001097,-1.150116819,S,1212,122,135,208,715,830,3222
2003,M4,TM,4,3,508900,178400,51.494067034,-0.432721583,E,1726,154,226,272,459,281,3118
2003,M4,TM,4,3,508900,178400,51.494067034,-0.432721583,W,1837,180,247,215,481,365,3325
2003,M4,TM,13,12,449300,173350,51.456991348,-1.291830727,E,1386,119,88,416,1347,1131,4487
2003,M4,TM,13,12,449300,173350,51.456991348,-1.291830727,W,1398,137,120,352,1178,986,4171
2003,M4,TM,LA Boundary,17,389200,179080,51.510544007,-2.157014857,E,946,301,245,512,1364,1235,4603
2003,M4,TM,LA Boundary,17,389200,179080,51.510544007,-2.157014857,W,1030,158,173,395,1178,1139,4073
2003,M5,TM,4,LA Boundary,398500,280000,52.417993414,-2.023481394,N,2151,246,168,577,1766,1369,6277
2003,M5,TM,4,LA Boundary,398500,280000,52.417993414,-2.023481394,S,1669,192,127,558,1748,1058,5352
2003,M5,TM,LA Boundary,LA Boundary,391788,234783,52.011416047,-2.12105813,N,1521,252,134,726,1864,1432,5929
