year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,buses_and_coaches,all_HGVs,2_axle,3_axle,4_axle,5_axle,6_axle,7_axle,Mean GVW
2023,M80,TM,A73,A73,274293,674066,55.943145,-4.0142922,E,34,2983,522,131,133,155,2037,5,35233.676835400605
2023,M80,TM,A73,A73,274293,674066,55.943145,-4.0142922,W,41,3293,701,266,146,485,1690,5,31710.74157303371
2023,M74,TM,A74,A724,263553,662467,55.836076,-4.1802675,E,76,4079,971,218,279,1246,1360,6,29001.230147058825
2023,M74,TM,A74,A724,263553,662467,55.836076,-4.1802675,W,76,4088,973,219,279,1249,1363,6,28964.095622401564
2023,M4,TM,28,27,328415,187298,51.579978,-3.0344815,N,205,4154,776,299,306,1154,1614,4,30525.97134601493
2023,M4,TM,28,27,328415,187298,51.579978,-3.0344815,S,145,4027,705,262,230,946,1880,5,31904.319513406157
2023,M4,TM,LA Boundary,37,280770,182100,51.525188,-3.7200444,E,48,2585,568,202,193,354,1263,6,30831.080046403713
2023,M4,TM,LA Boundary,37,280770,182100,51.525188,-3.7200444,W,46,2527,485,186,166,300,1385,5,32222.233874159083
2023,M4,TM,47,46,263100,199260,51.675377,-3.9812998,E,85,2079,588,168,175,257,887,5,28833.94471153846
2023,M4,TM,47,46,263100,199260,51.675377,-3.9812998,W,94,1992,557,177,136,258,858,5,28910.70015067805
2023,M8,TM,3,LA boundary,310000,671400,55.927219,-3.4419356,E,131,2672,608,238,188,305,1328,5,30621.98989520958
2023,M8,TM,3,LA boundary,310000,671400,55.927219,-3.4419356,W,142,3203,792,312,256,352,1484,6,29528.95003123048
2023,M8,TM,27,26,249751,665710,55.861087,-4.4022373,E,267,2562,715,154,329,374,978,11,28414.079656384223
2023,M8,TM,27,26,249751,665710,55.861087,-4.4022373,W,268,2574,712,194,310,369,977,11,28200.5938593082
2023,M8,TM,31,30,243500,671870,55.914392,-4.5055725,E,67,722,229,52,87,122,229,4,26699.145228215766
2023,M8,TM,31,30,243500,671870,55.914392,-4.5055725,W,56,689,222,56,75,101,231,3,26845.5
2023,M9,TM,6,A905,291490,681000,56.009609,-3.7418997,N,18,1301,338,71,134,518,235,4,25768.814615384614
2023,M9,TM,6,A905,291490,681000,56.009609,-3.7418997,S,31,1759,727,103,132,232,560,6,25143.27784090909
2023,M8,TM,11,10,266200,666110,55.869526,-4.1398329,E,212,2555,1027,254,201,229,838,6,25149.49589041096
2023,M8,TM,11,10,266200,666110,55.869526,-4.1398329,W,211,2284,954,269,162,165,730,5,24454.375054704597
2023,M8,TM,16,15,259700,666300,55.869383,-4.2437204,E,113,4548,1779,443,379,801,1135,12,24258.560562761046
2023,M8,TM,16,15,259700,666300,55.869383,-4.2437204,W,189,3846,1651,274,263,674,975,10,23900.204055107875
2023,M73,TM,M74,LA Boundary,268800,662700,55.839624,-4.0966637,N,115,4075,1082,340,245,363,2038,9,30294.12852587687
2023,M73,TM,M74,LA Boundary,268800,662700,55.839624,-4.0966637,S,131,4895,1237,378,295,487,2488,10,30592.341164453523
2023,M1,TM,A406,M1 spur,522170,189100,51.587519,-0.23795286,N,175,2367,1456,129,168,173,436,6,19896.27027027027
2023,M1,TM,A406,M1 spur,522170,189100,51.587519,-0.23795286,S,209,2223,1075,119,265,222,535,8,22568.03597122302
2023,M1,TM,2,4,520150,194300,51.634686,-0.26531515,E,201,1596,815,76,139,169,391,5,21992.092163009405
2023,M1,TM,2,4,520150,194300,51.634686,-0.26531515,W,170,1743,818,121,167,203,429,5,23172.00860585198
2023,M1,TM,17,18,458354,270523,52.329704,-1.1451197,N,149,9860,2124,515,244,1081,5890,5,33185.779592250736
2023,M1,TM,17,18,458354,270523,52.329704,-1.1451197,S,140,10496,2257,331,251,1282,6369,6,33521.09012957317
2023,M1,TM,22,23,447940,312400,52.707152,-1.2918996,N,65,7913,1165,390,377,989,4983,10,34804.76762699014
2023,M1,TM,22,23,447940,312400,52.707152,-1.2918996,S,108,9035,2379,401,327,1934,3984,9,30263.21740092982
2023,M1,TM,LA Boundary,28,446420,355300,53.092898,-1.3082833,N,72,8112,1689,358,517,2380,3160,9,30357.398372981635
2023,M1,TM,LA Boundary,28,446420,355300,53.092898,-1.3082833,S,76,8671,1584,380,552,2682,3465,8,30886.342290393266
2023,M1,TM,M18 spur,33,445042,389324,53.398829,-1.3240585,E,130,8409,1513,402,727,3537,2211,19,29015.629087882033
2023,M1,TM,M18 spur,33,445042,389324,53.398829,-1.3240585,W,85,8198,1307,537,613,979,4745,19,33318.115975609755
2023,M621,TM,7,M1,432150,429500,53.760869,-1.5138143,N,86,2270,749,198,150,286,882,5,27017.419823788547
2023,M621,TM,7,M1,432150,429500,53.760869,-1.5138143,S,103,2637,857,238,207,399,928,7,26848.209787556905
2023,M2,TM,2,LA Boundary,573500,165500,51.362069,0.49073802,N,78,4063,652,119,243,786,2254,8,33788.33948793697
2023,M2,TM,2,LA Boundary,573500,165500,51.362069,0.49073802,S,70,4201,575,232,306,1343,1738,9,31896.988103735428
2023,M3,TM,7,6,459450,147210,51.220999,-1.1501169,E,126,3222,1093,63,138,1049,875,5,26563.488985417313
2023,M3,TM,7,6,459450,147210,51.220999,-1.1501169,W,143,2727,562,173,180,372,1438,3,31629.315615835778
2023,M4,TM,4,3,508900,178400,51.494065,-0.43272165,E,408,3401,1706,170,330,428,755,12,22364.543957659513
2023,M4,TM,4,3,508900,178400,51.494065,-0.43272165,W,441,3641,1828,179,369,417,833,14,22299.500274725277
2023,M4,TM,13,12,452207,174055,51.463068,-1.2498911,E,163,4572,1180,220,245,759,2163,5,30509.286964129486
2023,M4,TM,13,12,452207,174055,51.463068,-1.2498911,W,142,4316,1320,104,223,568,2097,4,30028.430259499535
2023,M4,TM,LA Boundary,17,389200,179080,51.510542,-2.1570149,E,113,4248,578,225,224,909,2307,4,33730.323287026134
2023,M4,TM,LA Boundary,17,389200,179080,51.510542,-2.1570149,W,100,3803,688,139,165,517,2290,4,33984.74230870366
2023,M5,TM,4,LA Boundary,398500,280000,52.417992,-2.0234814,N,92,5743,1788,396,260,664,2631,6,29049.364664926023
2023,M5,TM,4,LA Boundary,398500,280000,52.417992,-2.0234814,S,106,5217,1485,248,195,689,2595,6,30484.376197776925
2023,M5,TM,LA Boundary,LA Boundary,391788,234783,52.011414,-2.1210581,N,73,5755,1307,262,271,656,3254,5,32572.051954821894
2023,M5,TM,LA Boundary,LA Boundary,391788,234783,52.011414,-2.1210581,S,56,5462,1212,309,258,655,3023,4,32387.76725874382
2023,M5,TM,11,10,390397,225518,51.928093,-2.1410624,N,81,5656,1145,223,114,1517,2653,3,32107.036958443856
2023,M5,TM,11,10,390397,225518,51.928093,-2.1410624,S,111,5277,1089,303,133,1367,2381,4,31277.44494978207
2023,M5,TM,24,23,330800,134540,51.105963,-2.9897945,N,64,3533,868,270,415,713,1264,4,28429.277589134126
2023,M5,TM,24,23,330800,134540,51.105963,-2.9897945,S,69,3855,921,158,484,804,1483,4,29191.757913855734
2023,M5,TM,28,27,302984,109963,50.880987,-3.3804248,N,88,3026,652,174,261,993,940,7,28768.104393789232
2023,M5,TM,28,27,302984,109963,50.880987,-3.3804248,S,99,2822,758,162,266,884,745,7,27394.176116229624
2023,M6,TM,4,M42,419593,286694,52.477826,-1.7129532,E,90,6994,1479,286,216,1299,3712,4,32470.64808461978
2023,M6,TM,4,M42,419593,286694,52.477826,-1.7129532,W,86,6631,1536,344,333,1341,3067,9,30883.548114630466
2023,M6,TM,16,17,377600,359800,53.134881,-2.3362678,N,98,10169,1326,36,502,1609,6673,25,36008.58037557762
2023,M6,TM,16,17,377600,359800,53.134881,-2.3362678,S,117,10846,1421,9,440,2102,6853,22,35846.98285240158
2023,M6,TM,21 spur,21A,364400,390840,53.413159,-2.5370481,E,38,11794,1876,404,493,3097,5911,13,33196.598439884685
2023,M6,TM,21 spur,21A,364400,390840,53.413159,-2.5370481,W,23,11187,1712,428,505,2346,6183,13,33744.058550102796
2023,M6,TM,25,A49,356168,401482,53.508186,-2.6623735,N,14,1190,322,67,107,304,385,4,28056.465937762827
2023,M6,TM,25,A49,356168,401482,53.508186,-2.6623735,S,15,1137,280,99,91,299,365,3,28067.74582233949
2023,M6,TM,29A,30,357160,425900,53.727729,-2.650785,N,97,4144,662,231,236,688,2319,7,33526.570842384746
2023,M6,TM,29A,30,357160,425900,53.727729,-2.650785,S,94,4610,696,237,338,1111,2219,9,32445.646420824294
2023,M6,TM,43,44,341413,559508,54.926802,-2.9157244,N,45,4719,658,219,187,716,2935,3,34811.36498516321
2023,M6,TM,43,44,341413,559508,54.926802,-2.9157244,S,43,4150,536,161,109,689,2652,2,35783.235478428534
2023,M18,TM,4,5,466400,407900,53.563524,-0.99896973,N,42,5096,626,271,194,639,3360,6,35642.991169544744
2023,M18,TM,4,5,466400,407900,53.563524,-0.99896973,S,42,5147,619,239,214,533,3535,7,36023.66388187293
2023,M20,TM,4,5,571200,158800,51.302577,0.45451659,E,84,7078,1140,199,619,2857,2248,15,30458.33498163323
2023,M20,TM,4,5,571200,158800,51.302577,0.45451659,W,74,6069,1028,175,580,2098,2174,14,30538.908386884166
2023,M23,TM,11,10A,530000,135500,51.104069,-0.14455299,E,51,2455,862,142,349,552,539,11,24729.839103869654
2023,M23,TM,11,10A,530000,135500,51.104069,-0.14455299,W,53,2294,839,174,261,385,625,10,25002.457715780296
2023,M27,TM,12,split,464300,104900,50.840064,-1.0881722,C,276,12538,2647,637,764,2710,5761,20,31130.850785549086
2023,M27,TM,8,9,449988,109982,50.88717,-1.2907213,E,83,2775,813,166,295,701,789,10,27025.51333813987
2023,M27,TM,8,9,449988,109982,50.88717,-1.2907213,W,100,2955,825,227,319,556,1019,10,27629.382273342355
2023,M40,TM,5,4,480300,192500,51.625598,-0.84137318,E,201,3900,1304,183,196,936,1278,4,27430.23840041015
2023,M40,TM,5,4,480300,192500,51.625598,-0.84137318,W,178,4497,1630,241,264,976,1381,4,26274.544483985766
2023,M45,TM,LA Boundary,M1,455407,270921,52.333587,-1.1882946,E,25,809,166,45,61,388,147,1,27579.813118811882
2023,M45,TM,LA Boundary,M1,455407,270921,52.333587,-1.1882946,W,15,806,181,35,73,359,156,1,27358.208695652174
2023,M53,TM,3,2,328000,388000,53.383917,-3.0839369,N,85,1396,352,84,131,342,485,3,28480.98783106657
2023,M53,TM,3,2,328000,388000,53.383917,-3.0839369,S,75,1355,326,89,130,290,517,3,29033.073800738006
2023,M56,TM,4,LA Boundary,383600,388821,53.395961,-2.2480935,E,145,2493,804,189,163,284,1050,4,27865.599438652767
2023,M56,TM,4,LA Boundary,383600,388821,53.395961,-2.2480935,W,119,2465,800,181,146,296,1038,4,28162.295334685597
2023,M56,TM,5,4,381560,387149,53.380865,-2.2786731,N,298,4283,1072,293,304,1249,1359,8,28318.17502917153
2023,M56,TM,5,4,381560,387149,53.380865,-2.2786731,S,298,3849,789,241,283,1331,1199,7,29409.077662337662
2023,M56,TM,9,8,371100,385200,53.362876,-2.4357355,E,77,2130,279,100,122,281,1343,5,35123.90140845071
2023,M56,TM,9,8,371100,385200,53.362876,-2.4357355,W,49,1990,337,94,111,214,1231,4,34320.51280763435
2023,M62,TM,9,10,362100,392040,53.423784,-2.5717932,E,65,6569,1118,286,523,778,3857,9,33514.76624562471
2023,M62,TM,9,10,362100,392040,53.423784,-2.5717932,W,56,6199,1091,260,421,729,3689,8,33629.68328493062
2023,M60,TM,17,18,381800,405391,53.544839,-2.2761281,E,105,9568,1730,352,488,1534,5448,16,33336.35294732441
2023,M60,TM,17,18,381800,405391,53.544839,-2.2761281,W,108,9428,1575,709,581,1514,5034,15,32590.48568095036
2023,M62,TM,22,LA Boundary,404000,416600,53.645893,-1.9409665,E,68,9100,1843,506,519,2927,3300,4,30127.48928453676
2023,M62,TM,22,LA Boundary,404000,416600,53.645893,-1.9409665,W,78,9254,1967,501,511,2836,3434,4,30110.81919377499
